Mol_i	Mol_j_nearest	extracted_value	Distance_nm	NN_Distance_nm
1179	220	0.0900180513027525	0.580863	29.555
117	1333	0.0149267722130482	0.629259	64.63
1180	315	0.0176159556870523	0.626745	18.445
1181	1245	0.005473135890244	0.763427	56.01
1182	702	0.0656105740931994	0.740211	88.998
1183	83	0.0039949545644154	0.724547	20.746
1184	881	0.1093751868096579	0.639074	40.422
1185	801	0.0067911774989793	0.623929	15.671
1186	1415	0.0029832365360139	0.641044	14.706
1188	1440	0.0036755709788736	0.728981	35.839
1189	479	0.117835238483495	0.671509	41.083
118	562	0.0157105305305627	0.79825	73.526
1190	45	0.0477621173961913	0.70424	62.835
1191	206	0.0353092328405043	0.908659	38.256
1194	1377	0.0757767747884713	0.514768	8.539
1196	1443	0.1093168369411219	0.518686	27.131
1197	1060	0.0201525674968688	0.613501	43.604
1198	396	0.0193756144749801	0.65368	34.041
1199	115	0.0368486119197399	0.678467	7.91
119	1173	0.0623349693466811	0.75511	80.778
11	135	0.0132475829204519	0.788983	80.872
1200	970	0.0862967568952192	0.467502	15.924
1202	897	0.0101550759170902	0.678755	89.77
1203	629	0.0467699110179916	0.743894	50.463
1204	504	0.0067093758870186	0.813571	9.661
1205	275	0.0383699798325656	0.498531	6.703
1206	1330	0.2295585302366837	0.469812	32.914
1208	1033	0.0454310614566243	0.694245	60.064
1209	288	0.0124572212127083	0.499146	28.198
120	107	0.0692082982072441	0.751784	66.688
1211	559	0.010730425740858	0.627014	25.531
1212	509	0.0497547703647873	0.804876	61.037
1213	411	0.0489336549206801	0.646189	89.802
1215	336	0.0674989835826419	0.793029	59.542
1216	86	0.0491177918606106	0.64607	46.098
1217	668	0.0438078486934006	0.565285	29.087
1218	1169	0.1089278614536297	0.521724	27.282
1219	899	0.0181815856554036	0.501677	31.726
121	378	0.0039500381965397	0.628378	43.312
1220	60	0.0968231888096699	0.728659	49.746
1221	719	0.002843196887064	0.809906	16.909
1222	261	0.0063306251001886	0.747888	56.297
1224	1006	0.0021246056156665	0.871295	55.102
1225	377	0.1342077284190657	0.568693	54.311
1226	1285	0.0150727580646413	0.602463	35.423
1228	422	0.0608461794743212	0.577367	26.203
1229	578	0.046363080220687	0.635886	86.335
122	458	0.0251649952353077	0.611523	44.684
1230	186	0.0650543165183424	0.496164	25.883
1232	735	0.0022158416787728	0.885032	53.539
1233	33	0.0156988217240535	0.462024	20.288
1234	330	0.0383031861441453	0.739771	80.245
1235	367	0.0314690352171108	0.838232	48.808
1236	328	0.0180946282904943	0.871878	64.835
1237	600	0.0078756433631565	0.845414	88.448
1238	919	0.0190391189852632	0.67949	59.074
123	1489	0.0231914569353502	0.50224	36.902
1240	1362	0.0055016452872514	0.490798	25.25
1241	51	0.0143068743119302	0.779944	24.318
1242	1040	0.1543731560259907	0.646862	33.176
1243	455	0.0356309476869305	0.640023	87.032
1244	948	0.0421246810634049	0.553468	56.23
1246	999	0.0038215536904826	0.776075	74.369
1247	1394	0.0116183771160554	0.706135	29.826
1248	1439	0.0185047415504782	0.505954	35.368
1249	282	0.0648937796461893	0.453932	28.287
1250	801	0.0798774756321015	0.493796	48.02
1251	301	0.0160882169318676	0.728105	41.726
1252	811	0.0491100752811274	0.715106	33.545
1253	723	0.0846424485980883	0.694607	26.936
1254	92	0.0372755179302085	0.791539	52.004
1255	1462	0.0336681867946066	0.474961	38.008
1256	900	0.0010319513056326	0.71766	64.658
1257	535	0.0649337463740017	0.6864	77.639
1258	742	0.0125014725622321	0.738243	78.539
1259	49	0.0299036400634995	0.559993	25.749
1260	647	0.0998844472985401	0.489299	5.235
1261	149	0.0608378006807273	0.628065	44.76
1262	1089	0.0119073363618326	0.746261	48.406
1263	1241	0.0117432824669878	0.806904	36.501
1264	755	0.0016324311428371	0.734256	69.319
1266	711	0.0542963790679675	0.502868	23.912
1267	1315	0.0668296594158299	0.56262	41.476
1268	269	0.0168399719382639	0.566512	13.902
1269	408	0.0916097212935129	0.48421	28.45
126	1101	0.0642842069944622	0.478097	19.407
1270	796	0.0291887551821217	0.832295	25.25
1271	423	0.010535593389414	0.720091	45.812
1272	74	0.00043613415447	0.869262	37.047
1273	472	0.0001016735147352	0.857274	49.212
1274	304	0.031311432855747	0.674416	24.727
1275	834	0.0327972729200367	0.596027	38.994
1277	1432	0.0973392719061993	0.50765	27.584
1278	1047	0.054804884406387	0.622758	89.448
1279	1470	0.0086339724592296	0.713385	43.722
127	780	0.1768255280608399	0.562579	51.034
1280	880	0.0336383153166853	0.730508	51.954
1281	617	0.0181612608963035	0.491956	19.094
1282	57	0.0436718888023639	0.661367	55.222
1285	1226	0.0439853265693887	0.602463	35.423
1286	1183	0.0405796527856953	0.810896	61.733
1287	155	0.2005627430626146	0.650613	48.107
1288	20	0.0429852489188427	0.532817	41.144
1289	1351	0.0493761530277031	0.707892	73.542
128	944	0.0011705634004169	0.643421	70.637
1290	833	0.0065834714399228	0.782167	26.419
1292	104	0.0187264154742181	0.609543	67.413
1293	1392	0.0650967768868789	0.533177	40.911
1294	403	0.0112575038640565	0.651449	14.166
1297	56	0.0072103726502656	0.829348	18.666
1298	317	0.0437172842709606	0.642561	11.987
1299	619	0.0062512642905663	0.528874	48.861
1300	1139	0.0255558330225043	0.607076	55.319
1303	472	0.0354975972804833	0.68159	38.03
1305	242	0.0252277987505745	0.550728	36.169
130	948	0.0266982134771634	0.590027	29.519
1310	914	0.0147766157541926	0.653924	70.985
1313	982	0.0034298413356612	0.538762	40.293
1315	1267	0.019160649872997	0.56262	41.476
1317	149	0.0141229403895785	0.542366	44.952
1318	1102	0.018135369570145	0.467627	11.923
131	1225	0.0541592205967296	0.897595	38.969
1320	916	0.0003000168912651	0.649826	52.415
1324	529	0.0214453577020304	0.407291	13.439
1326	735	0.0215324580389261	0.545797	41.631
1329	415	0.0041991799736798	0.756979	77.345
132	1230	0.0852159868402219	0.678044	73.657
1330	1206	0.0048820914424169	0.469812	32.914
1332	162	0.0081482593877798	0.565384	76.463
1333	117	0.0134741326540765	0.629259	64.63
1336	1136	0.0414380022088864	0.552032	63.797
133	844	0.060313350106857	0.626344	45.7
1340	1033	0.0127073200074179	0.537202	31.339
1341	586	0.0701691538418145	0.614341	69.286
1342	917	0.0243008236260369	0.551514	37.485
1344	925	0.0351529135855876	0.716995	86.335
1349	192	0.0046828468102609	0.776129	33.281
134	1280	0.0405141442914632	0.76745	8.521
1350	437	0.0124171683355591	0.625965	61.506
1351	1289	0.0380368506070699	0.707892	73.542
1352	597	0.0330715058126091	0.471722	11.43
1353	1452	0.0262172515242612	0.738396	56.015
1354	306	0.0111892451142441	0.640047	22.626
1356	329	0.0186511335005316	0.561983	35.926
135	11	0.0062508998642038	0.788983	80.872
1360	70	0.0147043576288526	0.539104	37.136
1362	1240	0.016360801424509	0.490798	25.25
1364	207	0.0880996845028354	0.516378	27.079
1365	809	0.0256595341873622	0.684005	53.856
1367	338	0.0561109187799542	0.656401	59.555
1368	919	0.0150614202512784	0.526298	42.962
1369	1095	0.0161757734574287	0.626066	31.549
136	124	0.0483386516512526	0.738282	35.137
1371	746	0.0155869693362024	0.550038	19.509
1373	521	0.1032530046748831	0.479386	18.226
1374	1024	0.0110571765838726	0.581318	74.109
1375	583	0.0489307167607788	0.663478	13.801
1376	370	0.0248795170335543	0.562557	24.917
1377	1194	0.0161380037942581	0.514768	8.539
1380	3	0.0153420178344771	0.563534	24.204
1381	208	0.029856355097903	0.568047	38.596
1383	318	0.0194533283381439	0.859485	42.768
1384	195	0.0485191971245902	0.641235	45.968
1385	217	0.0277140482832437	0.614038	18.043
1386	470	0.0308455413433224	0.474567	25.641
1388	144	0.0068060147971148	0.867712	63.286
1389	569	0.0630863487468968	0.486271	33.017
138	1298	0.0342303908386678	0.785303	55.078
1391	1042	0.012251291441904	0.583626	20.477
1392	1293	0.03598219582139	0.533177	40.911
1394	732	0.0201378003009923	0.631583	64.605
1397	752	0.0175848310977859	0.708868	70.281
139	1047	0.1270820353043825	0.52604	25.332
13	1074	0.1672932221973493	0.435394	24.394
1402	48	0.0368874672104974	0.442329	26.857
1404	1087	0.064500674682846	0.573962	66.876
1406	354	0.0248989020977482	0.444563	18.967
1407	854	0.0108999930411196	0.684316	16.905
1408	365	0.0222122641500798	0.530263	35.045
1409	170	0.0577575817629132	0.38995	10.236
140	1177	0.0142566073462613	0.74894	64.774
1410	302	0.0154500546191642	0.742625	42.593
1412	684	0.0043620927664145	0.544844	50.298
1413	656	0.0537801028356074	0.456272	11.732
1415	1186	0.0309887959580487	0.641044	14.706
1416	52	0.0029919723596256	0.524289	22.889
1418	398	0.0205819207071745	0.816065	7.243
1419	205	0.0512185870841222	0.458883	11.871
1420	938	0.0005870500583915	0.439896	36.875
1421	1323	0.1096129911990091	0.444936	27.793
1422	1257	0.0141378941816033	0.786606	55.238
1423	503	0.0925285993251736	0.762923	46.304
1424	749	0.0079956624702652	0.841973	75.092
1425	114	0.0777236198787141	0.632234	88.86
1426	1435	0.0699370201273648	0.729176	11.801
1427	1249	0.0709917886587689	0.551352	42.131
1428	494	0.2666507797968058	0.562432	41.019
142	1120	0.0178254889057271	0.535153	9.241
1430	654	0.0049629483165753	0.743132	54.731
1431	323	0.0070494780054132	0.672114	22.378
1432	1277	0.0648316697476633	0.50765	27.584
1433	165	0.0645424817796902	0.772813	48.964
1434	864	0.0141048464877929	0.75725	62.516
1435	964	0.0352322661432026	0.696238	83.008
1437	26	0.0262407615685785	0.4343	28.736
1438	782	0.0724525541638913	0.545117	28.832
1439	1248	0.0309387872206224	0.505954	35.368
143	376	0.0530184478290048	0.604839	38.083
1440	1027	0.0502517013815012	0.534067	30.431
1442	1013	0.0015448969730038	0.558577	14.466
1443	1196	0.0700730728297798	0.518686	27.131
1445	31	0.0045210997594382	0.594993	42.527
1446	181	0.0007143035415312	0.893333	61.877
1447	647	0.0377963663713745	0.71758	66.628
1448	987	0.117488605415342	0.477254	18.406
1449	1110	0.0073509487471318	0.658543	35.753
144	1388	0.0129384497341447	0.867712	63.286
1451	1203	0.028880026577569	0.845347	78.979
1452	432	0.0277976028932129	0.614523	19.365
1453	202	0.0333999869683698	0.593818	17.217
1454	175	0.0085920850535119	0.744858	74.333
1455	991	0.0154269274608119	0.742867	85.531
1456	621	0.0349159020150109	0.815559	80.914
1457	80	0.2284163826989649	0.403573	27.724
1459	888	0.0062760524568407	0.608566	39.008
145	1294	0.0369793468423613	0.710981	68.561
1460	1306	0.0041677831874222	0.802579	39.339
1462	1255	0.097911320540437	0.474961	38.008
1463	724	0.0036132853075661	0.581385	37.499
1466	729	0.0682797776649244	0.536972	19.845
1467	712	0.1021802422292034	0.573354	22.118
1468	92	0.12860965947369	0.438295	16.176
1469	1101	0.0061242305293637	0.566736	77.695
146	1491	0.0757921166050694	0.595521	40.221
1470	1279	0.0097094063163043	0.713385	43.722
1471	1355	0.0151297013761817	0.704053	45.105
1472	682	0.0124103756401247	0.79513	60.713
1473	361	0.0226079761854116	0.517864	25.865
1476	1337	0.0086101746522808	0.518115	21.725
1477	825	0.0155270387375858	0.510935	5.853
