,res_id,mid_x,mid_y,mid_z
197,198,5.537,5.1145,2.0935
198,199,7.990500000000001,5.0565,6.8965
199,200,10.443999999999999,3.9945000000000004,4.3805
200,201,9.168500000000002,6.159,5.013999999999999
201,202,9.072,0.7264999999999999,5.792
202,203,8.462,4.1445,3.349
203,204,3.292,2.7375,5.8285
204,205,2.008,2.3265000000000002,8.1295
205,206,1.127,4.383,5.438000000000001
206,207,3.9465,8.1015,9.0495
207,208,4.4695,8.0155,5.1335
208,209,6.293,1.6945000000000001,8.404499999999999
209,210,1.349,1.0145,2.1085
210,211,8.0975,0.3415,9.408999999999999
211,212,2.8185000000000002,5.0545,4.813
212,213,8.282,2.3225,10.212499999999999
213,214,5.8635,5.4955,6.522
214,215,3.5525,8.2255,4.4094999999999995
215,216,4.904,6.545,3.4619999999999997
216,217,9.8395,3.276,6.8385
217,218,4.704000000000001,7.96,2.7765
218,219,9.372,1.3895,1.2654999999999998
219,220,0.07901000000000025,7.3445,7.6815
220,221,10.4435,4.0675,5.3805
221,222,0.06900999999999963,2.692,0.0635
222,223,9.401,1.98,6.448499999999999
223,224,3.6710000000000003,5.7725,6.6035
224,225,4.4475,5.259,10.875499999999999
225,226,10.472000000000001,1.2229999999999999,0.3255
226,227,4.447,2.02,3.901
227,228,6.157500000000001,10.8175,7.819
228,229,1.0015,6.801,4.248
229,230,7.5595,1.9224999999999999,1.943
230,231,0.08550999999999978,0.393,8.962
231,232,9.2735,1.6440000000000001,4.516500000000001
232,233,4.0225,8.8045,6.193
233,234,7.202,3.7504999999999997,8.175
234,235,7.335,3.3025,8.486
235,236,8.627500000000001,1.584,11.20349
236,237,10.725000000000001,9.5405,6.2175
237,238,2.162,9.4125,7.4445
238,239,3.892,2.17,9.3705
239,240,6.145,1.4945,10.509
240,241,6.381,9.120000000000001,2.1595
241,242,6.325,5.1315,2.2305
242,243,2.0265,10.4215,5.8835
243,244,1.3005,0.6675,10.665
244,245,4.4125,6.3515,8.190999999999999
245,246,8.8025,7.752,11.1335
246,247,1.8479999999999999,1.4849999999999999,1.4795
247,248,0.2965,3.156,1.6985000000000001
248,249,8.997,0.3295,3.34
249,250,0.507,6.468999999999999,7.503500000000001
250,251,3.8819999999999997,10.258500000000002,2.436
251,252,6.0280000000000005,9.968499999999999,4.664
252,253,6.2825,8.038499999999999,1.9754999999999998
253,254,4.39,9.759,11.10149
254,255,2.526,7.6395,4.7085
255,256,8.0635,6.9485,4.912
256,257,10.0215,7.4830000000000005,8.9955
257,258,11.22499,10.219000000000001,1.4289999999999998
258,259,10.3965,1.0265,3.8095
259,260,7.083,8.837,9.0275
260,261,6.3965,8.1065,6.939
261,262,3.8735,5.59,7.236000000000001
262,263,3.173,9.335,8.6375
263,264,3.524,7.497999999999999,11.14799
264,265,9.7435,5.6715,8.942
265,266,0.8,8.411,3.0875
266,267,10.823,0.208,7.1675
267,268,2.0540000000000003,1.528,7.807
268,269,4.2945,5.5815,1.8005
269,270,0.3,6.916,9.8995
270,271,4.378,4.784,9.9955
271,272,7.649,3.6025,5.8925
272,273,3.2535,6.1285,9.190000000000001
