171,797
171,851
171,1099
173,321
173,1305
174,1037
175,1140
176,851
176,1109
176,1159
177,568
177,683
177,720
178,260
178,401
178,558
178,591
178,1042
178,1238
179,609
179,1264
180,657
180,694
180,1012
182,287
182,810
182,861
182,1361
184,765
185,240
185,933
185,1390
187,726
188,934
188,1081
188,1332
189,774
189,1477
190,453
190,601
190,879
190,1282
191,450
191,722
191,793
192,747
192,1088
192,1175
192,1204
193,725
193,815
193,1257
193,1302
193,1422
194,1407
195,231
195,998
195,1037
196,289
196,515
196,658
196,1223
199,924
200,549
201,1066
202,1426
202,1453
204,1321
205,586
205,965
205,966
205,1087
206,1240
208,370
208,1381
209,574
209,739
209,1113
210,886
212,312
212,1082
212,1114
212,1272
213,358
213,1285
214,1335
215,1170
215,1261
216,1126
218,394
218,457
219,274
219,539
219,1070
220,382
220,1281
221,493
221,670
221,1099
222,1311
222,1343
223,474
224,895
225,415
226,704
226,1031
227,639
227,1413
228,385
228,1058
229,706
230,281
230,562
230,1118
230,1124
234,477
234,1374
235,314
235,559
235,1209
236,358
236,515
236,594
236,1144
237,524
237,532
237,838
237,1414
238,1231
240,1499
241,482
242,1495
243,555
243,815
243,1472
244,610
245,335
245,653
246,1373
247,292
247,359
250,287
250,599
250,602
250,861
252,975
254,372
254,569
255,491
255,600
255,1277
256,687
256,792
257,617
257,962
258,570
258,1014
259,717
260,591
260,1490
261,384
261,529
261,1023
262,335
262,991
263,858
264,701
264,707
264,1215
264,1276
265,448
265,1098
266,694
266,1012
267,437
267,860
268,468
268,1423
269,1371
270,733
271,402
272,538
272,1354
273,465
273,679
274,718
275,1205
276,1129
277,1219
278,693
278,1319
278,1389
278,1411
278,1433
279,582
279,771
279,1176
279,1486
280,1164
280,1352
282,747
282,1176
283,621
284,797
285,835
285,972
286,978
287,602
287,759
287,1280
288,1209
289,594
291,584
292,527
292,790
292,886
292,1420
293,1304
295,324
295,1008
295,1149
296,1319
296,1389
297,298
297,821
297,827
297,1471
298,827
299,598
299,695
300,1324
301,819
301,1412
302,436
302,1358
302,1410
302,1482
303,468
303,1087
304,800
304,1196
304,1274
305,614
305,826
305,1164
307,887
308,1158
309,461
309,482
310,893
311,372
311,1105
311,1239
312,1457
313,884
313,1000
314,559
315,1258
316,418
316,777
316,1096
317,520
317,1298
318,869
318,1346
318,1383
318,1429
320,821
320,1288
320,1471
321,1126
322,562
324,657
324,784
324,901
325,1062
325,1299
326,387
326,445
326,537
326,1087
327,474
327,1037
328,1236
329,1436
331,961
331,1085
331,1123
332,525
332,979
332,1299
333,974
333,1379
334,642
334,855
